TABNAME,FIELDNAME,DEFAULT,MANDATORY,PARAMETER
CA_CL03_6,MANDT,100,X,
CA_CL03_1,MANDT,100,X,
CA_CL03_2,MANDT,100,X,
CA_CL03_5,MANDT,100,X,
CA_CT04,MANDT,100,X,
CA_CT04_1,MANDT,100,X,
CA_CT04_2,MANDT,100,X,
CA_CT04_3,MANDT,100,X,
CA_CU03,MANDT,100,X,
CA_CUKN,MANDT,100,X,
CA_EKPO,MANDT,100,X,
CA_F_20,MANDT,100,X,
CA_LFA1,MANDT,100,X,
CA_MAKT,MANDT,100,X,
CA_ME81,MANDT,100,X,
CA_OY01,MANDT,100,X,
CA_SCC4,MANDT,100,X,
CA_STXH,MANDT,100,X,
CA_SU01D_1,MANDT,100,X,
CA_SU01D_2,MANDT,100,X,
CA_T001L,MANDT,100,X,
CA_T001W,MANDT,100,X,
CA_T005,MANDT,100,X,
CA_T006A,MANDT,100,X,
CA_T023T,MANDT,100,X,
CA_T024X,MANDT,100,X,
CA_T148T,MANDT,100,X,
CA_T300T,MANDT,100,X,
CA_TCURT,MANDT,100,X,
CA_TJ30T,MANDT,100,X,
CA0001,MANDT,100,X,
CA0002,MANDT,100,X,
CA0003,MANDT,100,X,
CA0004,MANDT,100,X,
CA0005,MANDT,100,X,
CO_AUFK_1,MANDT,100,X,
CO_CO26,MANDT,100,X,
CO_CO26_1,MANDT,100,X,
CO_CO26_2,MANDT,100,X,
CO_CO26_3,MANDT,100,X,
CO_CO26_4,MANDT,100,X,
CO_CO26_6,MANDT,100,X,
CO_CO26_7,MANDT,100,X,
CO_COBK_1,MANDT,100,X,
CO_COBRA_1,MANDT,100,X,
CO_COBRA_3,MANDT,100,X,
CO_COBRB,MANDT,100,X,
CO_COBRB_1,MANDT,100,X,
CO_COEP_1,MANDT,100,X,
CO_COEPL,MANDT,100,X,
CO_COOIS_1,MANDT,100,X,
CO_COSL,MANDT,100,X,
CO_COSP_4,MANDT,100,X,
CO_COSS_1,MANDT,100,X,
CO_CSKA,MANDT,100,X,
CO_CSKS,MANDT,100,X,
CO_CSKT,MANDT,100,X,
CO_CSKU,MANDT,100,X,
CO_CSSL,MANDT,100,X,
CO_FSE3,MANDT,100,X,
CO_GCS6,MANDT,100,X,
CO_KA23,MANDT,100,X,
CO_KB13N,MANDT,100,X,
CO_KB23N,MANDT,100,X,
CO_KE53_1,MANDT,100,X,
CO_KE53_2,MANDT,100,X,
CO_KK03,MANDT,100,X,
CO_KKAQ,MANDT,100,X,
CO_KKBC_ORD,MANDT,100,X,
CO_KKBC_ORD_1,MANDT,100,X,
CO_KL03,MANDT,100,X,
CO_KO8B,MANDT,100,X,
CO_KO8B_1,MANDT,100,X,
CO_KOB1,MANDT,100,X,
CO_KS13,MANDT,100,X,
CO_KSAI,MANDT,100,X,
CO_KSAI_1,MANDT,100,X,
CO_KSAJ,MANDT,100,X,
CO_KSB1,MANDT,100,X,
CO_KSB1_2,MANDT,100,X,
CO_KSBT,MANDT,100,X,
CO_KVBI,MANDT,100,X,
CO_MARD,MANDT,100,X,
CO_OKV1,MANDT,100,X,
CO_OKV2,MANDT,100,X,
CO_S_ALR_87013632,MANDT,100,X,
CO_TFKBT,MANDT,100,X,
CO_TKT05,MANDT,100,X,
CO_TPC4,MANDT,100,X,
CO001,MANDT,100,X,
CO003,MANDT,100,X,
CO004,MANDT,100,X,
FI_COBK_3,MANDT,100,X,
FI_FB03L,MANDT,100,X,
FI_FBCJ,MANDT,100,X,
FI_FBCJC0,MANDT,100,X,
FI_FBCJC2,MANDT,100,X,
FI_FBL5N1,MANDT,100,X,
FI_FBL5N2,MANDT,100,X,
FI_FBL5N3,MANDT,100,X,
FI_FBL5N4,MANDT,100,X,
FI_FD10N,MANDT,100,X,
FI_FF_6,MANDT,100,X,
FI_FI03,MANDT,100,X,
FI_FSP0,MANDT,100,X,
FI_OB58,MANDT,100,X,
FI_RFBELJ00,MANDT,100,X,
FI_RFUMSV00,MANDT,100,X,
FI_S_AL0_96000497,MANDT,100,X,
FI_S_ALR_807012357,MANDT,100,X,
FI_S_ALR_87012326,MANDT,100,X,
FI_S_ALR_87101140,MANDT,100,X,
FI_XD03_1,MANDT,100,X,
FI_XD03_2,MANDT,100,X,
FI0001,MANDT,100,X,
FI0002,MANDT,100,X,
FIAA_ANKT,MANDT,100,X,
FIAA_ANKT_2,MANDT,100,X,
FIAA_OAV9,MANDT,100,X,
FIAA_OITA,MANDT,100,X,
FIAA0001,MANDT,100,X,
FIAA0002,MANDT,100,X,
FIAA0003,MANDT,100,X,
FIAA0004,MANDT,100,X,
FIAA0005,MANDT,100,X,
FIAP_FBL1N_2,MANDT,100,X,
FIAP_FBL1N_3,MANDT,100,X,
FIAP_FK10N,MANDT,100,X,
FIAP_MKVZ,MANDT,100,X,
FIAP_S_ALR_87012093_1,MANDT,100,X,
FIAP_S_ALR_87012093_2,MANDT,100,X,
FIAP_T052U,MANDT,100,X,
FIAP_TINCT,MANDT,100,X,
FIAP_XK03_1,MANDT,100,X,
FIAP_XK03_10,MANDT,100,X,
FIAP_XK03_2,MANDT,100,X,
FIAP_XK03_4,MANDT,100,X,
FIAP_XK03_5,MANDT,100,X,
FIAP_XK03_6,MANDT,100,X,
FIAP_XK03_7,MANDT,100,X,
FIAP_XK03_9,MANDT,100,X,
FIAP0001,MANDT,100,X,
FIAR_FBL5N,MANDT,100,X,
FIAR_FBL5N_1,MANDT,100,X,
FIAR_S_AL0_96000490,MANDT,100,X,
FIAR_XD03_10,MANDT,100,X,
FIAR_XD03_11,MANDT,100,X,
FIAR_XD03_12,MANDT,100,X,
FIAR_XD03_13,MANDT,100,X,
FIAR_XD03_3,MANDT,100,X,
FIAR_XD03_4,MANDT,100,X,
FIAR_XD03_5,MANDT,100,X,
FIAR_XD03_6,MANDT,100,X,
FIAR_XD03_8,MANDT,100,X,
FIAR0001,MANDT,100,X,
FIAR0003,MANDT,100,X,
FICA_CXN5,MANDT,100,X,
FICA_FAGL_ACTIVATION,MANDT,100,X,
FICA_FB03,MANDT,100,X,
FICA_FB03L,MANDT,100,X,
FICA_FSE3_1,MANDT,100,X,
FICA_FTXA,MANDT,100,X,
FICA_OB13,MANDT,100,X,
FICA_OB41,MANDT,100,X,
FICA_OB58_2,MANDT,100,X,
FICA_OB58_3,MANDT,100,X,
FICA_OBA7,MANDT,100,X,
FICA_OBY6,MANDT,100,X,
FICA_S_ALR_87012365,MANDT,100,X,
FICA0001,MANDT,100,X,
FICA0002,MANDT,100,X,
FICA0003,MANDT,100,X,
FICA0004,MANDT,100,X,
FICA0005,MANDT,100,X,
FICA0006,MANDT,100,X,
FICA0007,MANDT,100,X,
FICA0008,MANDT,100,X,
FICA0009,MANDT,100,X,
FICA0010,MANDT,100,X,
FICA0011,MANDT,100,X,
FICA0012,MANDT,100,X,
FICA0013,MANDT,100,X,
FIGL_FAGLB03,MANDT,100,X,
FIGL_FAGLB03_SUM,MANDT,100,X,
FIGL_FAGLB03_SUM,BUKRS,,X,
FIGL_FAGLB03_SUM,HKONT,,X,
FIGL_FAGLB03_SUM2,MANDT,100,X,
FIGL_FAGLB03_SUM2,BUKRS,,X,
FIGL_FAGLB03_SUM2,HKONT,,X,
FIGL_FAGLB03_1,MANDT,100,X,
FIGL_FAGLB03_2,MANDT,100,X,
FIGL_FBL3N_1,MANDT,100,X,
FIGL_FBL3N_1,KTOPL,,X,
FIGL_FBL3N_1,BUKRS,,X,
FIGL_FBL3N_1,SAKNR,,X,
FIGL_FBL3N_1,GJAHR,,X,
FIGL_FBL3N_2,MANDT,100,X,
FIGL_FBL3N_3,MANDT,100,X,
FIGL_FBL3N_3,KTOPL,,X,
FIGL_FBL3N_3,BUKRS,,X,
FIGL_FBL3N_3,HKONT,,X,
FIGL_FBL3N_3,GJAHR,,X,
FIGL_FBL3N_4,MANDT,100,X,
FIGL_FS03,MANDT,100,X,
FIGL_FSP0,MANDT,100,X,
FIGL_KL03,MANDT,100,X,
FIGL_ME2K_1,MANDT,100,X,
FIGL_ME2K_2,MANDT,100,X,
FIGL_ME2K_3,MANDT,100,X,
FIGL_OB58,MANDT,100,X,
FIGL_S_ALR_87100988,MANDT,100,X,
FIGL_S_ALR_87100988_1,MANDT,100,X,
FIGL0001,MANDT,100,X,
FIGL0002,MANDT,100,X,
FIGL0004,MANDT,100,X,
HR_PA0000,MANDT,100,X,
HR_PA0001,MANDT,100,X,
HR_PA0003,MANDT,100,X,
HR_PA0006,MANDT,100,X,
HR_PA0021,MANDT,100,X,
HR_PA0105,MANDT,100,X,
HR_PA0900,MANDT,100,X,
HR_PA20,MANDT,100,X,
HR_T001P,MANDT,100,X,
HR_T500P,MANDT,100,X,
HR_T503T,MANDT,100,X,
HR_T510A,MANDT,100,X,
HR_T510G,MANDT,100,X,
HR_T512T,MANDT,100,X,
HR_T513S,MANDT,100,X,
HR_T517T,MANDT,100,X,
HR_T517X,MANDT,100,X,
HR_T526,MANDT,100,X,
HR_T527X,MANDT,100,X,
HR_T528T,MANDT,100,X,
HR_T529T,MANDT,100,X,
HR_T529U,MANDT,100,X,
HR_T530E,MANDT,100,X,
HR_T530F,MANDT,100,X,
HR_T530T,MANDT,100,X,
HR_T533T,MANDT,100,X,
HR_T538T,MANDT,100,X,
HR_T542T,MANDT,100,X,
HR_T547S,MANDT,100,X,
HR_T548T,MANDT,100,X,
HR_T549T,MANDT,100,X,
HR_T554T,MANDT,100,X,
HR_T555Q,MANDT,100,X,
HR_T555V,MANDT,100,X,
HR_T556,MANDT,100,X,
HR_T556B,MANDT,100,X,
HR_T574B,MANDT,100,X,
HR_T591S,MANDT,100,X,
HR_T5C1B,MANDT,100,X,
HR_T5C1O,MANDT,100,X,
HR_T5C2G,MANDT,100,X,
HR_T5CA3,MANDT,100,X,
HR_T5CAQ,MANDT,100,X,
HR_T5UBA,MANDT,100,X,
HR_T5UC1,MANDT,100,X,
HR_T5UC3,MANDT,100,X,
HR_T5UC4,MANDT,100,X,
HR_T5UC9,MANDT,100,X,
HR_T5UCT,MANDT,100,X,
HR_T5UCV,MANDT,100,X,
HR0004,MANDT,100,X,
MM_0012,MANDT,100,X,
MM_0014,MANDT,100,X,
MM_0015,MANDT,100,X,
