FIELDNAME,LANGUAGE,TEXT
ADCP_ERR_STATUS,D,Fehlerstatus
ADCP_ERR_STATUS,E,Error Status
ADCP_ERR_STATUS,S,Status de error
ADCP_UUID,D,Adress-UUID
ADCP_UUID,E,Address UUID
ADCP_UUID,S,UUID dirección
ADDRNUMBER_2,D,Adressnummer
ADDRNUMBER_2,E,Address Number
ADDRNUMBER_2,S,Nº dirección
ALT_COMPNY,D,Dienstadresse
ALT_COMPNY,E,Business addr
ALT_COMPNY,S,Direc.trabajo
BUILDING_1,D,Gebäudekürzel
BUILDING_1,E,Building code
BUILDING_1,S,Sigla edificio
CLIENT_2,D,Mandant
CLIENT_2,E,Client
CLIENT_2,S,Mandante
COMP_PERS,D,Firma/Person
COMP_PERS,E,Company/Person
COMP_PERS,S,Empresa/persona
DATE_FROM_2,D,von
DATE_FROM_2,E,From
DATE_FROM_2,S,de
DATE_TO_2,D,bis
DATE_TO_2,E,To
DATE_TO_2,S,a
DEFLT_COMM_1,D,Kommunikationsart
DEFLT_COMM_1,E,Comm. Method
DEFLT_COMM_1,S,Fo.comunicación
DEPARTMENT,D,Abteilung
DEPARTMENT,E,Department
DEPARTMENT,S,Departamento
FAX_EXTENS_1,D,Nebenstelle
FAX_EXTENS_1,E,Extension
FAX_EXTENS_1,S,Extensión
FAX_NUMBER_1,D,Fax
FAX_NUMBER_1,E,Fax
FAX_NUMBER_1,S,Fax
FLAGCOMM10_1,D,Drucker
FLAGCOMM10_1,E,Printer
FLAGCOMM10_1,S,Impresora
FLAGCOMM11_1,D,SSF
FLAGCOMM11_1,E,SSF
FLAGCOMM11_1,S,SSF
FLAGCOMM12_1,D,URI/FTP
FLAGCOMM12_1,E,URI/FTP
FLAGCOMM12_1,S,URI/FTP
FLAGCOMM13_1,D,Pager
FLAGCOMM13_1,E,Pager
FLAGCOMM13_1,S,Pager
FLAGCOMM2_1,D,Telefon...
FLAGCOMM2_1,E,Telephone...
FLAGCOMM2_1,S,Teléfono...
FLAGCOMM3_1,D,Telefax...
FLAGCOMM3_1,E,Fax...
